############################################################
Species: N2
############################################################
Band: First_Positive
Upper Electronic State: 3
Lower Electronic State: 2
#  vl    vu    A (1/s)
  10    15   2.1620e+05 
  10    16   8.9850e+04 
  10    17   3.1130e+04 
  10    18   1.0050e+04 
  10    19   2.9760e+03 
  10    20   8.3460e+02 
  10    21   2.2080e+02 
  11     3   5.5020e+01 
  11     5   7.5020e+03 
  11     6   4.9680e+04 
  11     7   1.1660e+05 
  11     8   1.6950e+06 
  11     9   1.0270e+05 
  11    10   6.0600e+06 
  11    11   8.2150e+04 
  11    12   4.1520e+03 
  11    13   8.8330e+05 
  11    14   4.2550e+05 
  11    15   4.1150e+05 
  11    16   1.6280e+05 
  11    17   7.5450e+04 
  11    18   2.5500e+04 
  11    19   8.8540e+03 
  11    20   2.6950e+03 
  11    21   8.1010e+02 
  12     4   9.9190e+01 
  12     5   2.4190e+03 
  12     6   9.0970e+02 
  12     7   1.5940e+05 
  12     8   1.9300e+04 
  12     9   1.9670e+06 
  12    10   6.1480e+05 
  12    11   3.4240e+06 
  12    12   3.3190e+05 
  12    13   1.3330e+04 
  12    14   1.0490e+06 
  12    16   3.6890e+05 
  12    18   6.1050e+04 
  12    20   7.0990e+03 
END First_Negative
END N2+
